numero;ville_etab
1028;Saint-André-lez-Lille
1029;Brumath
1030;Aiguillon
1031;Saint-Pierre-Quiberon
1032;Bétheny
1033;Contrexéville
1034;Grande-Synthe
1035;Anzin
1036;Matoury
1037;La Fère
1038;Madrid
1039;Magny-les-Hameaux
1040;Saint-Maximin-la-Sainte-Baume
1041;Oxford
1042;BARCELONA
1043;Porcheville
1044;Le Marin
1045;Bourg-lès-Valence
1046;Bolbec
1047;Villeneuve-Saint-Georges
1048;Saint-Jean
1049;Tournan-en-Brie
1050;Pantin
1051;Rousset
1052;Bourganeuf
1053;Pecquencourt
1054;Paimpol
1055;Vedène
1056;Guer
1057;Pezens
1058;Guilherand-Granges
1059;Gières
1060;Misérieux
1061;Hirson
1062;Bohain-en-Vermandois
1063;Le Mayet-de-Montagne
1064;Millau
1065;Mauriac
1066;Cherves-Richemont
1067;Royan
1068;Audincourt
1069;Châteauneuf-de-Galaure
1070;Anneyron
1071;Mesnils-sur-Iton
1072;Gaillon
1073;Les Andelys
1074;Lesneven
1075;Bazas
1076;Clermont-l'Hérault
1077;Dol-de-Bretagne
1078;Hauts de Bienne
1079;Saint-Priest-en-Jarez
1080;Perreux
1081;Ingré
1082;Somme-Suippe
1083;Cosnes-et-Romain
1084;Stenay
1085;Schoeneck
1086;Algrange
1087;Ottange
1088;Landrecies
1089;Beaucamps-Ligny
1090;Airion
1091;La Ferté Macé
1092;Carvin
1093;Saint-Pée-sur-Nivelle
1094;Bischwiller
1095;Ingersheim
1096;Tarare
1097;Fougerolles-Saint-Valbert
1098;Davayé
1099;Sallanches
1100;Franqueville-Saint-Pierre
1101;La Rochette
1102;Le Mée-sur-Seine
1103;Longperrier
1104;Pontault-Combault
1105;Villiers-Saint-Frédéric
1106;Albert
1107;Flixecourt
1108;Chauvigny
1109;Toucy
1110;Joigny
1111;Montgeron
1112;Bondoufle
1113;Villepinte
1114;Clichy-sous-Bois
1115;Villeneuve-le-Roi
1116;Sucy-en-Brie
1117;Margency
1118;Macouria
1119;La Possession
1120;Gannat
1121;Eaubonne
1122;Malakoff
1123;Montluel
1124;Céret
1125;Le François
1126;Le Blanc-Mesnil
1127;Thuré
1128;Les Moutiers-en-Cinglais
1129;La Grand-Combe
1130;Orchies
1131;Villiers-le-Bel
1132;Pontaumur
1133;Feurs
1134;Hasparren
1135;Bras-Panon
1136;Asnières-sur-Seine
1137;Canet-en-Roussillon
1138;Rumilly
1139;Ruelle-sur-Touvre
1140;Saint-Vallier
1141;Longchamp
1142;Saint-Maixent-l'Ecole
1143;Saint-Leu
1144;Epinay-sur-Orge
1145;Clamart
1146;Prémontré
1147;Ambilly
1148;Plateau d'Hauteville
1149;Le Blanc
1150;Garches
1151;Saint-Michel-de-Maurienne
1152;Grigny
1153;Isle
1154;Bois-Colombes
1155;Wittelsheim
1156;Singapour
1157;Saint-Aignan
1158;La Celle-Saint-Cloud
1159;Bourcefranc-le-Chapus
1160;Casablanca
1161;Eysines
1162;Bort-les-Orgues
1163;Chenôve
1164;Aniche
1165;Saint-Berthevin
1166;Largentière
1167;Morsang-sur-Orge
1168;La Garenne-Colombes
1169;Dives-sur-Mer
1170;Aureilhan
1171;Port-de-Bouc
1172;La Plaine-des-Palmistes
1173;Crézancy
1174;Le Chaffaut-Saint-Jurson
1175;Cagnes-sur-Mer
1176;Les Loges-Margueron
1177;Sainte-Maure
1178;Limoux
1179;Barbezieux-Saint-Hilaire
1180;Soyaux
1181;Auxonne
1182;Lamballe-Armor
1183;Aubusson
1184;Nogent-le-Rotrou
1185;Plomelin
1186;Le Faou
1187;Landivisiau
1188;Uzès
1189;Masseube
1190;Pauillac
1191;Montfort-sur-Meu
1192;Monistrol-sur-Loire
1193;Peyre en Aubrac
1194;Mortain-Bocage
1195;Carentan-les-Marais
1196;Château-Gontier-sur-Mayenne
1197;Pont-Sainte-Maxence
1198;Crépy-en-Valois
1199;Rollancourt
1200;Lescar
1201;Wissembourg
1202;Illzach
1203;Saint-Laurent-de-Chamousset
1204;Saint-Saturnin
1205;Moûtiers
1206;Mesnières-en-Bray
1207;Forges-les-Eaux
1208;Castelsarrasin
1209;Lorgues
1210;Chantonnay
1211;Pouzauges
1212;Jaunay-Marigny
1213;Magnac-Laval
1214;Avallon
1215;Gron
1216;Stains
1217;Rosny-sous-Bois
1218;Domont
1219;Jouy-le-Moutier
1220;Saint-Yrieix-la-Perche
1221;Lamentin
1222;Moissac
1223;Châtillon-sur-Seine
1224;Arnage
1225;Saint-Paul-Trois-Châteaux
1226;Beaumont-de-Lomagne
1227;La Guerche-de-Bretagne
1228;Blaye
1229;Hautmont
1230;Marseille 14e  Arrondissement
1231;La Gaude
1232;Saint-Venant
1233;Saint-Maurice
1234;Magny-le-Hongre
1235;Le Mesnil-Saint-Denis
