i,pct_f,type
999,36.0,3.0
1000,43.0,3.0
1001,33.0,3.0
1002,14.0,5.0
1003,34.0,6.0
1004,19.0,3.0
1005,48.0,3.0
1006,32.0,4.0
1007,29.0,3.0
1008,6.0,6.0
1009,16.0,6.0
1010,23.0,6.0
1011,26.0,3.0
1012,57.0,3.0
1013,27.0,3.0
1014,29.0,3.0
1015,28.0,4.0
1016,5.0,7.0
1017,28.0,3.0
1018,11.0,3.0
1019,36.0,3.0
1020,36.0,7.0
1021,14.0,7.0
1022,21.0,3.0
1023,33.0,5.0
1024,13.0,6.0
1025,18.0,3.0
1026,53.0,3.0
1027,61.0,3.0
1028,4.0,6.0
1029,36.0,3.0
1030,7.0,6.0
1031,10.0,6.0
1032,48.0,3.0
1033,9.0,6.0
1034,41.0,6.0
1035,0.0,6.0
1036,7.0,6.0
1037,0.0,3.0
1038,11.0,5.0
1039,17.0,7.0
1040,24.0,7.0
1041,35.0,7.0
1042,52.0,3.0
1043,18.0,7.0
1044,12.0,3.0
1045,58.0,3.0
1046,29.0,5.0
1047,67.0,6.0
1048,61.0,3.0
1049,52.0,3.0
1050,62.0,3.0
1051,77.0,3.0
1052,50.0,6.0
1053,60.0,3.0
1054,50.0,6.0
1055,10.0,6.0
1056,31.0,5.0
1057,45.0,5.0
1058,17.0,3.0
1059,36.0,7.0
1060,49.0,7.0
1061,52.0,3.0
1062,25.0,7.0
1063,84.0,3.0
1064,34.0,6.0
1065,20.0,4.0
1066,39.0,5.0
1067,58.0,5.0
1068,5.0,6.0
1069,57.0,3.0
1070,67.0,3.0
1071,7.0,6.0
1072,48.0,3.0
1073,57.0,3.0
1074,33.0,3.0
1075,44.0,3.0
1076,46.0,3.0
1077,42.0,4.0
1078,50.0,3.0
1079,15.0,3.0
1080,0.0,3.0
1081,22.0,7.0
1082,33.0,7.0
1083,29.0,5.0
1084,11.0,3.0
1085,33.0,3.0
1086,28.0,3.0
1087,50.0,3.0
1088,42.0,5.0
1089,41.0,3.0
1090,8.0,6.0
1091,40.0,3.0
1092,26.0,3.0
1093,40.0,3.0
1094,39.0,3.0
1095,62.0,3.0
1096,58.0,3.0
1097,25.0,3.0
1098,44.0,3.0
1099,37.0,3.0
1100,35.0,3.0
1101,30.0,5.0
1102,35.0,3.0
1103,0.0,7.0
1104,26.0,7.0
1105,43.0,3.0
1106,35.0,5.0
1107,17.0,3.0
1108,28.0,3.0
1109,33.0,3.0
1110,33.0,3.0
1111,29.0,5.0
1112,0.0,3.0
1113,0.0,7.0
1114,57.0,3.0
1115,31.0,6.0
1116,61.0,3.0
1117,21.0,6.0
1118,78.0,3.0
1119,48.0,6.0
1120,63.0,3.0
1121,65.0,3.0
1122,40.0,3.0
1123,14.0,3.0
1124,53.0,3.0
1125,33.0,3.0
1126,80.0,3.0
1127,33.0,5.0
1128,36.0,7.0
1129,24.0,6.0
1130,23.0,6.0
1131,43.0,3.0
1132,10.0,6.0
1133,48.0,3.0
1134,46.0,3.0
1135,69.0,3.0
1136,49.0,7.0
1137,66.0,3.0
1138,57.0,3.0
1139,43.0,6.0
1140,38.0,4.0
1141,33.0,5.0
1142,70.0,3.0
1143,54.0,7.0
1144,71.0,3.0
1145,69.0,3.0
1146,23.0,3.0
1147,45.0,7.0
1148,17.0,7.0
1149,45.0,3.0
1150,0.0,4.0
1151,22.0,2.0
1152,6.0,2.0
1153,18.0,2.0
1154,0.0,2.0
1155,56.0,3.0
1156,12.0,4.0
1157,36.0,3.0
1158,12.0,7.0
1159,11.0,7.0
1160,3.0,4.0
1161,29.0,7.0
1162,36.0,7.0
1163,0.0,7.0
1164,41.0,3.0
1165,57.0,3.0
1166,14.0,7.0
1167,6.0,7.0
1168,74.0,3.0
1169,63.0,3.0
1170,50.0,3.0
1171,27.0,3.0
1172,44.0,4.0
1173,50.0,4.0
1174,55.0,3.0
1175,70.0,4.0
1176,78.0,3.0
1177,0.0,4.0
1178,40.0,3.0
1179,38.0,3.0
1180,40.0,7.0
1181,0.0,3.0
1182,26.0,3.0
1183,57.0,3.0
1184,29.0,7.0
1185,62.0,4.0
